seriesid,aod,rssdid,submissionts,key,value
FRY9C,20230131,1234567,1770609249,BHCKD969,715291
FRY9C,20230131,1234567,1770609249,BHCK4397,488859
FRY9C,20230131,1234567,1770609249,BHCAP840,214125
FRY9C,20230131,1234567,1770609249,BHTX8901,257787
FRY9C,20230131,1234567,1770609249,BHCKS612,256203
FRY9C,20230131,1234567,1770609249,BHCKH280,100762
FRY9C,20230131,1234567,1770609249,BHCKF618,884346
FRY9C,20230131,1234567,1770609249,BHCK3517,233036
FRY9C,20230131,1234567,1770609249,BHCKG460,320466
FRY9C,20230131,1234567,1770609249,BHCKK140,421872
FRY9C,20230131,1234567,1770609249,BHCKKX67,961339
FRY9C,20230131,1234567,1770609249,BHCKC898,789781
FRY9C,20230131,1234567,1770609249,BHCKS452,56237
FRY9C,20230131,1234567,1770609249,BHCKG313,242261
FRY9C,20230131,1234567,1770609249,BHCKHU09,266690
FRY9C,20230131,1234567,1770609249,BHCAP849,793823
FRY9C,20230131,1234567,1770609249,BHCKH176,312701
FRY9C,20230131,1234567,1770609249,BHCK0383,275801
FRY9C,20230131,1234567,1770609249,BHCKS616,496845
FRY9C,20230131,1234567,1770609249,BHCT3543,61346
FRY9C,20230131,1234567,1770609249,BHCT3190,223275
FRY9C,20230131,1234567,1770609249,BHCKD973,385054
FRY9C,20230131,1234567,1770609249,BHCKG611,707509
FRY9C,20230131,1234567,1770609249,BHCKJH89,719251
FRY9C,20230131,1234567,1770609249,BHCKC230,185531
FRY9C,20230131,1234567,1770609249,BHCKS550,797270
FRY9C,20230131,1234567,1770609249,BHCKHJ80,507383
FRY9C,20230131,1234567,1770609249,BHCKB042,155593
FRY9C,20230131,1234567,1770609249,BHCKHT58,6748
FRY9C,20230131,1234567,1770609249,BHCKB755,379551
FRY9C,20230131,1234567,1770609249,BHCK2333,776499
FRY9C,20230131,1234567,1770609249,BHCK4617,24527
FRY9C,20230131,1234567,1770609249,BHCAMK77,27852
FRY9C,20230131,1234567,1770609249,BHDM1288,527160
FRY9C,20230131,1234567,1770609249,BHCALE91,807509
FRY9C,20230131,1234567,1770609249,BHCK3164,405404
FRY9C,20230131,1234567,1770609249,BHCKG505,327807
FRY9C,20230131,1234567,1770609249,BHCAMK78,509110
FRY9C,20230131,1234567,1770609249,BHCKF601,51768
FRY9C,20230131,1234567,1770609249,BHCKHT52,496567
FRY9C,20230131,1234567,1770609249,TEXTB043,128563
FRY9C,20230131,1234567,1770609249,BHCK1742,754886
FRY9C,20230131,1234567,1770609249,BHCK8782,151495
FRY9C,20230131,1234567,1770609249,BHCKG453,382141
FRY9C,20230131,1234567,1770609249,BHCKHU18,868518
FRY9C,20230131,1234567,1770609249,BHCK8712,620451
FRY9C,20230131,1234567,1770609249,BHCKG486,690669
FRY9C,20230131,1234567,1770609249,BHCKB753,293344
FRY9C,20230131,1234567,1770609249,BHCKJJ30,972686
FRY9C,20230131,1234567,1770609249,BHCK4150,578843
FRY9C,20230131,1234567,1770609249,BHCKFT28,64662
FRY9C,20230131,1234567,1770609249,BHCA8274,580466
FRY9C,20230131,1234567,1770609249,BHCKHT69,812635
FRY9C,20230131,1234567,1770609249,BHCKS475,801150
FRY9C,20230131,1234567,1770609249,BHCKH284,778866
FRY9C,20230131,1234567,1770609249,BHBCC216,303936
FRY9C,20230131,1234567,1770609249,BHCK4093,487452
FRY9C,20230131,1234567,1770609249,BHCKFT29,400925
FRY9C,20230131,1234567,1770609249,BHCKHU21,297500
FRY9C,20230131,1234567,1770609249,BHCT2160,592013
FRY9C,20230131,1234567,1770609249,BHCK3435,394537
FRY9C,20230131,1234567,1770609249,BHTXG551,847596
FRY9C,20230131,1234567,1770609249,BHCK8704,697992
FRY9C,20230131,1234567,1770609249,BHCKB049,793021
FRY9C,20230131,1234567,1770609249,BHCKF636,245611
FRY9C,20230131,1234567,1770609249,BHCKB491,807412
FRY9C,20230131,1234567,1770609249,BHCKG433,185442
FRY9C,20230131,1234567,1770609249,BHCKS562,515794
FRY9C,20230131,1234567,1770609249,BHCK8695,747184
FRY9C,20230131,1234567,1770609249,BHCK3817,968421
FRY9C,20230131,1234567,1770609249,RSSD9200,483254
FRY9C,20230131,1234567,1770609249,BHBC4519,119150
FRY9C,20230131,1234567,1770609249,BHCKB489,513479
FRY9C,20230131,1234567,1770609249,BHCKG610,125660
FRY9C,20230131,1234567,1770609249,RSSD9220,286651
FRY9C,20230131,1234567,1770609249,BHCKM722,253599
FRY9C,20230131,1234567,1770609249,BHCAP844,610889
FRY9C,20230131,1234567,1770609249,BHCKG559,368555
FRY9C,20230131,1234567,1770609249,BHCKK043,397046
FRY9C,20230131,1234567,1770609249,BHCAP793,712626
FRY9C,20230131,1234567,1770609249,BHCK6689,117741
