item_mdrm,item_desc,context_level1_mdrm,context_level1_desc,context_level1_value
RISKM337,a. Current exposure of derivative contracts,,,
RISKM339,b. Potential future exposure(PFE) of derivative contracts,,,
RISKY822,c. Gross-up for derivatives collateral,,,
RISKM340,d. Effective notional amount of written credit derivatives,,,
RISKY823,e. Cash variation margin included as an on-balance sheet receivable,,,
RISKY824,f.  Exempted central counterparty legs of client-cleared transactions included in items 1(a) and 1(b),,,
RISKY825,g. Effective notional amount offsets and PFE adjustments for sold credit protection,,,
RISKY826,"h. Total derivative exposures (sum of items 1.a through 1.d, minus the sum of items 1.e through 1.g)",,,
RISKM334,a. Gross SFT assets,,,
RISKN507,b. Counterparty credit risk exposure for SFTs,,,
RISKY827,c. SFT indemnification and other agent-related exposures,,,
RISKY828,d. Gross value of offsetting cash payables,,,
RISKY829,"e. Total SFT exposures (sum of items 2.a through 2.c, minus item 2.d)",,,
RISKY830,a. Other on-balance sheet assets,,,
RISKM349,b.  Regulatory adjustments,,,
RISKM342,a. Gross notional amount of items subject to a 0% credit conversion factor (CCF),,,
RISKM718,b. Gross notional amount of items subject to a 20% CCF,,,
RISKM346,c. Gross notional amount of items subject to a 50% CCF,,,
RISKM347,d. Gross notional amount of items subject to a 100% CCF,,,
RISKY831,"e. Credit exposure equivalent of other off-balance sheet items (sum of 0.1 times item 4.a, 0.2 times item 4.b, 0.5 times item 4.c, and item 4.d)",,,
RISKY832,"5. Total exposures prior to regulatory deductions (sum of items 1.h, 2.e, 3.a, and 4.e)",,,
RISKFC52,"6. Does item 5 represent an average value over the reporting period? (Enter ""1"" for Yes; enter ""0"" for No.)",,,
RISKM335,1. Securities received as collateral in securities lending,,,
RISKM336,2. Cash collateral received in conduit securities lending transactions,,,
RISKM341,3. Credit derivatives sold net of related credit protection bought,,,
RISK2170,4. Total consolidated assets,,,
RISKKW01,5. Total off-balance sheet exposures (item 5 minus M.4.),,,
RISKKY47,6. Total nonbank assets,,,
RISKM409,1. OTC derivative contracts cleared through a central counterparty,,,
RISKM410,2. OTC derivative contracts settled bilaterally,,,
RISKM411,3. Total notional amount of OTC derivative contracts (sum of items 1 and 2),,,
RISKM412,4. Trading securities,,,
RISK1773,5. AFS securities,,,
RISKJA22,6. Equity securities with readily determinable fair values not held for trading,,,
RISKM414,"7. Total trading, AFS and equity securities with readily determinable fair values not held for trading (sum of items 4, 5, and 6)",,,
RISKN510,"8. Trading, AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 1 liquid assets",,,
RISKN511,"9. Trading, AFS and equity securities with readily determinable fair values not held for trading that meet the definition of level 2 liquid assets, with haircuts",,,
RISKN255,"10. Total adjusted trading, AFS and equity securities with readily determinable fair values not held for trading (item 7 minus items 8 and 9) ",,,
RISKG506,11. Assets valued for accounting purposes using Level 3 measurement inputs,,,
RISK1754,1. Held-to-maturity securities,,,
RISKM422,1. Foreign claims on an ultimate-risk basis,,,
RISKM423,2. Foreign liabilities (excluding local liabilities in local currency),,,
RISKM424,a. Any foreign liabilities to related offices included in item 2,,,
RISKM425,3. Local liabilities in local currency,,,
RISKM426,"4. Total cross-jurisdictional liabilities (sum of items 2 and 3, minus item 2.a)",,,
RISKKY49,5. Cross-jurisdictional activity (sum of items 1 and 4),,,
RISKKW54,1. Foreign derivative claims on an ultimate-risk basis,,,
RISKKW55,2. Total cross-jurisdictional claims (sum of items 1 and M.1),,,
RISKKW56,3. Foreign derivative liabilities on an immediate-counterparty basis,,,
RISKKW57,"4. Consolidated foreign liabilities on an immediate-counterparty basis, excluding derivative liabilities",,,
RISKKY50,"5. Total cross-jurisdictional liabilities, including derivatives (sum of items M.3 and M.4)",,,
RISK2948,1. Total liabilities,,,
RISKM427,2. Retail funding,,,
RISKM430,3. Total gross revenue,,,
RISKM428,4. Total net revenue,,,
RISKM429,5. Foreign net revenue,,,
RISKM432,6. Gross value of cash provided and gross fair value of securities provided in securities financing transactions (SFTs),,,
RISKM433,7. Gross value of cash received and gross fair value of securities received in SFTs,,,
RISKM434,8. Gross positive fair value of over-the-counter (OTC) derivative contracts,,,
RISKM435,9. Gross negative fair value of OTC derivative contracts,,,
RISKM437,10. Number of jurisdictions,,,
RISKY838,a. Funding secured by level 1 liquid assets,,,
RISKY842,b. Retail brokered deposits and sweeps,,,
RISKY846,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISKY850,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
